series,episode,baker,result,technical,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
5,6,Luis,IN,3,Troyano,42,Graphic Designer,"Poynton, Cheshire",Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill
5,6,Martha,IN,4,Collison,17,Student,"Ascot, Berkshire",Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte
5,6,Nancy,IN,1,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte
5,6,Richard,IN,5,Burr,38,Builder,"Mill Hill, London",Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte
5,7,Chetna,IN,6,Makan,35,Fashion Designer,"Broadstairs, Kent",Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
5,7,Diana,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
5,7,Kate,OUT,4,Henry,41,Furniture Restorer,"Brighton, East Sussex",Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs
5,7,Luis,IN,5,Troyano,42,Graphic Designer,"Poynton, Cheshire",Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
5,7,Martha,IN,3,Collison,17,Student,"Ascot, Berkshire",Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs
5,7,Nancy,IN,2,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
5,7,Richard,STAR BAKER,1,Burr,38,Builder,"Mill Hill, London",Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
5,8,Chetna,IN,1,Makan,35,Fashion Designer,"Broadstairs, Kent",Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
5,8,Diana,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
5,8,Luis,IN,2,Troyano,42,Graphic Designer,"Poynton, Cheshire",Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
5,8,Martha,OUT,5,Collison,17,Student,"Ascot, Berkshire",Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts
5,8,Nancy,IN,3,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
5,8,Richard,STAR BAKER,4,Burr,38,Builder,"Mill Hill, London",Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts
5,9,Chetna,OUT,4,Makan,35,Fashion Designer,"Broadstairs, Kent",Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
5,9,Diana,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
5,9,Luis,IN,1,Troyano,42,Graphic Designer,"Poynton, Cheshire",Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
5,9,Nancy,IN,3,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets
5,9,Richard,STAR BAKER,2,Burr,38,Builder,"Mill Hill, London",Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets
5,10,Diana,IN,NA,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",NA,NA
5,10,Luis,Runner-up,2,Troyano,42,Graphic Designer,"Poynton, Cheshire","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate
5,10,Nancy,WINNER,1,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill
5,10,Richard,Runner-up,3,Burr,38,Builder,"Mill Hill, London",Pear Pain au ChocolatPain Au Lait,Mill on the Hill
6,1,Alvin,IN,2,Magallanes,37,Nurse,"Bracknell, Berkshire",Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
6,1,Dorret,IN,5,Conway,53,Accountant,"Penwortham, Lancashire",Madeira Cake with Candied Lemons,Enchanted Forest Gâteau
6,1,Flora,IN,6,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Blood Orange Madeira Cake,Black Forest Gâteau
6,1,Ian,IN,8,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Somewhere West of Madeira Cake,Black Forest Cherry Tree
6,1,Marie,STAR BAKER,3,Campbell,66,Retired,"Auchterarder, Perthshire",Zingy Citrus Madeira Cake,A Walk in the Black Forest
6,1,Mat,IN,7,Riley,37,Fire fighter,London,Gin and Tonic Madeira Cake,Black Forest Gateau
6,1,Nadiya,IN,12,Hussain,30,Full-time mother,Leeds / Luton,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau
6,1,Paul,IN,10,Jagger,49,Prison governor,"Swansea, Wales","Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation
6,1,Sandy,IN,9,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau
6,1,Stu,OUT,11,Henshall,35,Professional musician,"Guildford, Surrey",Marley Madeira Cake,Purple Forest Gâteau
6,1,Tamal,IN,4,Ray,29,Trainee anaesthetist,Manchester,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell
6,1,Ugnė,IN,1,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Lemon and Thyme Madeira Cake,Falling Cup Gâteau
6,2,Alvin,IN,6,Magallanes,37,Nurse,"Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
6,2,Dorret,IN,1,Conway,53,Accountant,"Penwortham, Lancashire",Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs
6,2,Flora,IN,2,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Wedding Biscotti,Honey and Earl Grey Tea Box
6,2,Ian,STAR BAKER,3,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire","Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture
6,2,Marie,OUT,11,Campbell,66,Retired,"Auchterarder, Perthshire",Biscotti Italiano,Russian Box
6,2,Mat,IN,5,Riley,37,Fire fighter,London,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine
6,2,Nadiya,IN,9,Hussain,30,Full-time mother,Leeds / Luton,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes
6,2,Paul,IN,10,Jagger,49,Prison governor,"Swansea, Wales","Chocolate, Hazelnut and Fig Biscotti",Memory Box
6,2,Sandy,IN,4,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box
6,2,Tamal,IN,8,Ray,29,Trainee anaesthetist,Manchester,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box
6,2,Ugnė,IN,7,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",White Wine Biscotti,Baby Climbing into the Cookie Box
6,3,Alvin,IN,4,Magallanes,37,Nurse,"Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
6,3,Dorret,OUT,6,Conway,53,Accountant,"Penwortham, Lancashire",Walnut and Stilton Soda Breads,Unmade Bread
6,3,Flora,IN,2,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Fig and Hazelnut Rye Breads,Herb Couture
6,3,Ian,STAR BAKER,1,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Wild Garlic Pesto Soda Breads,Flour Power
6,3,Mat,IN,8,Riley,37,Fire fighter,London,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion
6,3,Nadiya,IN,9,Hussain,30,Full-time mother,Leeds / Luton,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket
6,3,Paul,IN,10,Jagger,49,Prison governor,"Swansea, Wales",Cranberry and Orange Sweet Soda Breads,King of the Jungle
6,3,Sandy,IN,7,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
6,3,Tamal,IN,3,Ray,29,Trainee anaesthetist,Manchester,"Fig, Cheese and Walnut Breads",Breadcycle
6,3,Ugnė,IN,5,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket
6,4,Alvin,IN,9,Magallanes,37,Nurse,"Bracknell, Berkshire",Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
6,4,Flora,IN,3,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
6,4,Ian,STAR BAKER,4,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
6,4,Mat,IN,7,Riley,37,Fire fighter,London,Coconut Crème Brûlées,Chocolate Bar Cheesecakes
6,4,Nadiya,IN,8,Hussain,30,Full-time mother,Leeds / Luton,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes
6,4,Paul,IN,1,Jagger,49,Prison governor,"Swansea, Wales",Almond Crème Brûlées,Berry Cheesecake Tower
6,4,Sandy,OUT,6,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
6,4,Tamal,IN,5,Ray,29,Trainee anaesthetist,Manchester,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
6,4,Ugnė,IN,2,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
6,5,Alvin,IN,8,Magallanes,37,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
6,5,Flora,IN,3,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
6,5,Ian,IN,5,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Honey and Flowers Cake,Dessert Island
6,5,Mat,IN,4,Riley,37,Fire fighter,London,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll
6,5,Nadiya,STAR BAKER,1,Hussain,30,Full-time mother,Leeds / Luton,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll
6,5,Paul,IN,2,Jagger,49,Prison governor,"Swansea, Wales",Carrot & Pecan Cake,Dessert Island Getaway
6,5,Tamal,IN,7,Ray,29,Trainee anaesthetist,Manchester,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
6,5,Ugnė,OUT,6,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
6,6,Alvin,OUT,6,Magallanes,37,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
6,6,Flora,IN,2,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
6,6,Ian,IN,3,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
6,6,Mat,STAR BAKER,1,Riley,37,Fire fighter,London,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents
6,6,Nadiya,IN,4,Hussain,30,Full-time mother,Leeds / Luton,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents
6,6,Paul,IN,5,Jagger,49,Prison governor,"Swansea, Wales",Christmas Frangipane Tart,Savoury and Sweet Bouchées
6,6,Tamal,IN,7,Ray,29,Trainee anaesthetist,Manchester,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
6,7,Flora,IN,4,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
6,7,Ian,IN,5,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Roadkill Pie,Victoria's Crown Charlotte Russe
6,7,Mat,OUT,6,Riley,37,Fire fighter,London,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe
6,7,Nadiya,IN,1,Hussain,30,Full-time mother,Leeds / Luton,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe
6,7,Paul,IN,2,Jagger,49,Prison governor,"Swansea, Wales",Not a Boaring Pie,Charlotte Rose
6,7,Tamal,STAR BAKER,3,Ray,29,Trainee anaesthetist,Manchester,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
6,8,Flora,IN,3,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
6,8,Ian,IN,2,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
6,8,Nadiya,STAR BAKER,1,Hussain,30,Full-time mother,Leeds / Luton,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
6,8,Paul,OUT,5,Jagger,49,Prison governor,"Swansea, Wales",Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne
6,8,Tamal,IN,4,Ray,29,Trainee anaesthetist,Manchester,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
6,9,Flora,OUT,1,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Passion Fruit and Chocolate Tart,Cocoa Carousel
6,9,Ian,IN,3,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Chocolate and Bay Tart,Chocolate Well
6,9,Nadiya,STAR BAKER,4,Hussain,30,Full-time mother,Leeds / Luton,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door
6,9,Tamal,IN,2,Ray,29,Trainee anaesthetist,Manchester,Chocolate New York Pie,Chocolate Bell Tower
6,10,Ian,Runner-up,2,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake
6,10,Nadiya,WINNER,1,Hussain,30,Full-time mother,Leeds / Luton,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake
6,10,Tamal,Runner-up,3,Ray,29,Trainee anaesthetist,Manchester,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake
7,1,Andrew,IN,12,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
7,1,Benjamina,IN,6,Ebuehi,23,Teaching assistant,South London,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
7,1,Candice,IN,5,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
7,1,Jane,STAR BAKER,7,Beedle,61,Garden designer,Beckenham,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake
7,1,Kate,IN,4,Barmby,37,Nurse,"Brooke, Norfolk",Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake
7,1,Lee,OUT,11,Banfield,67,Pastor,Bolton,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake
7,1,Louise,IN,9,Williams,46,Hairdresser,Cardiff,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake
7,1,Michael,IN,3,Georgiou,20,Student,Durham,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze
7,1,Rav,IN,8,Bansal,28,Student support,Erith,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake
7,1,Selasi,IN,1,Gbormittah,30,Client service associate,London,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
7,1,Tom,IN,2,Gilliford,26,Project engagement manager,Rochdale,G&T Drizzle Cake,Black Forest Broken Mirror
7,1,Val,IN,10,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting
7,2,Andrew,IN,4,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,Punting in Cambridge
7,2,Benjamina,IN,3,Ebuehi,23,Teaching assistant,South London,Bouquet Biscuits,"New York, New York"
7,2,Candice,STAR BAKER,8,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
7,2,Jane,IN,2,Beedle,61,Garden designer,Beckenham,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat
7,2,Kate,IN,1,Barmby,37,Nurse,"Brooke, Norfolk","""A Biscuit for the Broads""","""I Promise I will do my best"""
7,2,Louise,OUT,10,Williams,46,Hairdresser,Cardiff,Baa Bara Brith Biscuits,Gingerbread Wedding
7,2,Michael,IN,9,Georgiou,20,Student,Durham,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland
7,2,Rav,IN,6,Bansal,28,Student support,Erith,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground
7,2,Selasi,IN,11,Gbormittah,30,Client service associate,London,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church
7,2,Tom,IN,7,Gilliford,26,Project engagement manager,Rochdale,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience
7,2,Val,IN,5,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire
7,3,Andrew,IN,2,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,Braided Harvest Bread Basket
7,3,Benjamina,IN,6,Ebuehi,23,Teaching assistant,South London,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
7,3,Candice,IN,3,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
7,3,Jane,IN,9,Beedle,61,Garden designer,Beckenham,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre
7,3,Kate,IN,8,Barmby,37,Nurse,"Brooke, Norfolk",Cobbled Loaf,The Corn Maiden
7,3,Michael,OUT,7,Georgiou,20,Student,Durham,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous
7,3,Rav,IN,10,Bansal,28,Student support,Erith,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece
7,3,Selasi,IN,5,Gbormittah,30,Client service associate,London,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread
7,3,Tom,STAR BAKER,4,Gilliford,26,Project engagement manager,Rochdale,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
7,3,Val,IN,1,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
7,4,Andrew,IN,4,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box
7,4,Benjamina,STAR BAKER,1,Ebuehi,23,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
7,4,Candice,IN,2,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,Two-Way Peanut Butter Churros
7,4,Jane,IN,3,Beedle,61,Garden designer,Beckenham,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
7,4,Kate,OUT,7,Barmby,37,Nurse,"Brooke, Norfolk",Christmas Dinner Compromise,Hot Cross Bunny Churros
7,4,Rav,IN,9,Bansal,28,Student support,Erith,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros
7,4,Selasi,IN,8,Gbormittah,30,Client service associate,London,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
7,4,Tom,IN,5,Gilliford,26,Project engagement manager,Rochdale,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
7,4,Val,IN,6,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
7,5,Andrew,IN,6,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
7,5,Benjamina,IN,5,Ebuehi,23,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
7,5,Candice,STAR BAKER,2,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
7,5,Jane,IN,1,Beedle,61,Garden designer,Beckenham,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
7,5,Rav,IN,8,Bansal,28,Student support,Erith,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
7,5,Selasi,IN,3,Gbormittah,30,Client service associate,London,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
7,5,Tom,IN,4,Gilliford,26,Project engagement manager,Rochdale,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
7,5,Val,OUT,7,Stones,66,"Semi-retired, Substitute teacher",Yeovil,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
7,6,Andrew,IN,6,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
7,6,Benjamina,IN,2,Ebuehi,23,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
7,6,Candice,IN,5,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
7,6,Jane,IN,4,Beedle,61,Garden designer,Beckenham,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar
7,6,Rav,OUT,3,Bansal,28,Student support,Erith,Mandarin Margarita Meringue Pie,Blossom Cake
7,6,Selasi,IN,7,Gbormittah,30,Client service associate,London,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake
7,6,Tom,STAR BAKER,1,Gilliford,26,Project engagement manager,Rochdale,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake
7,7,Andrew,STAR BAKER,1,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
7,7,Benjamina,IN,3,Ebuehi,23,Teaching assistant,South London,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
7,7,Candice,IN,2,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
7,7,Jane,IN,4,Beedle,61,Garden designer,Beckenham,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
